IndicatorName,IndicatorCode,Location,LocationCode,Year,Disaggregation,NumericValue,DisplayValue,Comments
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Lithuania,LTU,2022,NA,17.03,17,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Luxembourg,LUX,2022,NA,10.87,10.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Mali,MLI,2022,NA,60.87,60.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Malta,MLT,2022,NA,13.35,13.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Mauritius,MUS,2022,NA,60.43,60.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Morocco,MAR,2022,NA,46.07,46.1,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Mozambique,MOZ,2022,NA,64.29,64.3,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Myanmar,MMR,2022,NA,90.91,90.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Namibia,NAM,2022,NA,18.18,18.2,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Nepal,NPL,2022,NA,77.06,77.1,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Netherlands (Kingdom of the),NLD,2022,NA,7.61,7.6,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,North Macedonia,MKD,2022,NA,60,60,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Oman,OMN,2022,NA,78.16,78.2,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Pakistan,PAK,2022,NA,83.51,83.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Peru,PER,2022,NA,76.67,76.7,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Philippines,PHL,2022,NA,43.89,43.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Poland,POL,2022,NA,18.77,18.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Qatar,QAT,2022,NA,43.31,43.3,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Republic of Korea,KOR,2022,NA,38.84,38.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Republic of Moldova,MDA,2022,NA,71.88,71.9,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Russian Federation,RUS,2022,NA,64.63,64.6,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Rwanda,RWA,2022,NA,48,48,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Saudi Arabia,SAU,2022,NA,52.83,52.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Singapore,SGP,2022,NA,25.53,25.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,South Africa,ZAF,2022,NA,30.04,30,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Sri Lanka,LKA,2022,NA,58.76,58.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Sweden,SWE,2022,NA,7.31,7.3,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Switzerland,CHE,2022,NA,9.78,9.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Syrian Arab Republic,SYR,2022,NA,78.57,78.6,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Thailand,THA,2022,NA,33.77,33.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Timor-Leste,TLS,2022,NA,50,50,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Tunisia,TUN,2022,NA,19.79,19.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Türkiye,TUR,2022,NA,52.18,52.2,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Uganda,UGA,2022,NA,81.82,81.8,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Ukraine,UKR,2022,NA,54.55,54.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,United Arab Emirates,ARE,2022,NA,52.38,52.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,United Kingdom,GBR,2022,NA,11.41,11.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,United Republic of Tanzania,TZA,2022,NA,68.71,68.7,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Yemen,YEM,2022,NA,90.36,90.4,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infection due to Escherichia coli resistant to 3rd-generation cephalosporin (%),AMR_INFECT_ECOLI,Zambia,ZMB,2022,NA,76.47,76.5,"Percentage of bloodstream infection due to  Escherichia coli resistant to 3rd-generation cephalosporin (e.g., ESBL- E. coli) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center"
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Argentina,ARG,2022,NA,32.79,32.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Australia,AUS,2022,NA,14.97,15,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Austria,AUT,2022,NA,3.87,3.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Bahrain,BHR,2022,NA,42.11,42.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Bangladesh,BGD,2022,NA,88.46,88.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Belgium,BEL,2022,NA,4.56,4.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Benin,BEN,2022,NA,52.56,52.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Bosnia and Herzegovina,BIH,2022,NA,26.51,26.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Brazil,BRA,2022,NA,31.58,31.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Brunei Darussalam,BRN,2022,NA,12.16,12.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Burkina Faso,BFA,2022,NA,30.43,30.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Cambodia,KHM,2022,NA,81.25,81.3,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Cameroon,CMR,2022,NA,76,76,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Canada,CAN,2022,NA,20.98,21,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,"China, Hong Kong SAR",HKG,2022,NA,45.84,45.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Colombia,COL,2022,NA,45.15,45.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Croatia,HRV,2022,NA,53.85,53.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Cyprus,CYP,2022,NA,55.93,55.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Czechia,CZE,2022,NA,7.64,7.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Democratic Republic of the Congo,COD,2022,NA,88.46,88.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Denmark,DNK,2022,NA,1.85,1.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Egypt,EGY,2022,NA,69.44,69.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Estonia,EST,2022,NA,3.09,3.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Eswatini,SWZ,2022,NA,36.36,36.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Ethiopia,ETH,2022,NA,61.82,61.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Finland,FIN,2022,NA,1.63,1.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,France,FRA,2022,NA,11.15,11.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Georgia,GEO,2022,NA,28.32,28.3,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Germany,DEU,2022,NA,4.43,4.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Ghana,GHA,2022,NA,67.86,67.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Global,GLOBAL,2022,NA,32.2,32.2,
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Greece,GRC,2022,NA,41.08,41.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Iceland,ISL,2022,NA,2.78,2.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,India,IND,2022,NA,54.85,54.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Indonesia,IDN,2022,NA,35.18,35.2,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Iran (Islamic Republic of),IRN,2022,NA,34.71,34.7,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Iraq,IRQ,2022,NA,87.76,87.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Ireland,IRL,2022,NA,10.54,10.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Italy,ITA,2022,NA,30.6,30.6,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Japan,JPN,2022,NA,33.89,33.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Jordan,JOR,2022,NA,76.27,76.3,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Kenya,KEN,2022,NA,21.43,21.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Kuwait,KWT,2022,NA,59.09,59.1,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Lao People's Democratic Republic,LAO,2022,NA,55.88,55.9,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Latvia,LVA,2022,NA,3.83,3.8,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Lebanon,LBN,2022,NA,52.5,52.5,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
Percentage of bloodstream infections due methicillin-resistant Staphylococcus aureus (%),AMR_INFECT_MRSA,Lithuania,LTU,2022,NA,9.42,9.4,Percentage of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) among patients seeking care and whose blood sample is taken and tested. AMR Surveillance National Coordinating Center
